Timeline,ID,Title,Author,Amazon Link
Legends,jedi-trial,Jedi Trial,David Sherman & Dan Cragg,https://amzn.to/4wz7rBA
Legends,star-wars-the-clone-wars-movie-novelization,Star Wars: The Clone Wars,Karen Traviss,https://amzn.to/4dnctZm
Legends,the-clone-wars-wild-space,The Clone Wars: Wild Space,Karen Miller,https://amzn.to/4wNkD6i
Legends,republic-commando-hard-contact,Republic Commando: Hard Contact,Karen Traviss,https://amzn.to/49CddZr
Legends,shatterpoint,Shatterpoint,Matthew Stover,https://amzn.to/4tF5YHp
Legends,the-clone-wars-no-prisoners,The Clone Wars: No Prisoners,Karen Traviss,https://amzn.to/3PJVCrN
Legends,survivor-s-quest,Survivor's Quest,Timothy Zahn,https://amzn.to/4fqHiih
Legends,republic-commando-triple-zero,Republic Commando: Triple Zero,Karen Traviss,https://amzn.to/4ddf5ds
Legends,medstar-i-battle-surgeons,Medstar I: Battle Surgeons,Michael Reaves & Steve Perry,https://amzn.to/4ddh4yr
Legends,medstar-ii-jedi-healer,Medstar II: Jedi Healer,Michael Reaves & Steve Perry,https://amzn.to/4nuqUiO
Legends,yoda-dark-rendezvous,Yoda: Dark Rendezvous,Sean Stewart,https://amzn.to/4dtBJxe
Legends,labyrinth-of-evil,Labyrinth of Evil,James Luceno,https://amzn.to/4tFMKBx
Legends,episode-iii-revenge-of-the-sith,Star Wars: Revenge of the Sith,Matthew Stover,https://amzn.to/4tCS88r
Legends,republic-commander-order-66,Republic Commando: Order 66,Karen Traviss,https://amzn.to/4dtp2Cm
Legends,dark-lord-the-rise-of-darth-vader,Dark Lord: The Rise of Darth Vader,James Luceno,https://amzn.to/3ReSR27
Legends,imperial-commando-501st,Imperial Commando: 501st,Karen Traviss,https://amzn.to/4dr7h6B
Legends,kenobi,Kenobi,John Jackson Miller,https://amzn.to/4ueOUZN
Legends,coruscant-nights-i-jedi-twilight,Coruscant Nights I: Jedi Twilight,Michael Reaves,https://amzn.to/4nugFei
Legends,scourge,Scourge,Jeff Grubb,https://amzn.to/4udTfwi
Legends,coruscant-nights-ii-street-of-shadows,Coruscant Nights II: Street of Shadows,Michael Reaves,https://amzn.to/3R3jFCB
Legends,coruscant-nights-iii-patterns-of-force,Coruscant Nights III: Patterns of Force,Michael Reaves,https://amzn.to/43de0wi
Legends,the-last-jedi,The Last Jedi,Michael Reaves and Maya Kaathryn Bohnhoff,https://amzn.to/42DW79K
Legends,the-new-rebellion,The New Rebellion,Kristine Kathryn Rusch,https://amzn.to/3PsJNpU
Legends,the-crystal-star,The Crystal Star,Vonda McIntyre,https://amzn.to/4dtEDlC
Legends,x-wing-starfighters-of-adumar,X-Wing: Starfighters of Adumar,Aaron Allston,https://amzn.to/3RcZQJ1
Legends,darksaber,Darksaber,Kevin J. Anderson,https://amzn.to/4dLj5lv
Legends,children-of-the-jedi,Children of the Jedi,Barbara Hambly,https://amzn.to/3P6Rnqd
Legends,i-jedi,"I, Jedi",Michael Stackpole,https://amzn.to/495qhGJ
Legends,tatooine-ghost,Tatooine Ghost,Troy Denning,https://amzn.to/4fvsXB8
Legends,x-wing-iron-fist,X-Wing: Iron Fist,Aaron Allston,https://amzn.to/4dq8IST
